epoch,loss_train,ave_loss_train,loss_val,ave_loss_val,loss_test,ave_loss_test,auprc_avg_train,auprc_med_train,auprc_avg_val,auprc_med_val,auprc_avg_test,auprc_med_test
10, 26.604345,0.1291473,12.261295,0.1190417,14.343049,0.1392529,nan,nan,nan,nan,0.21485724451548577,0.1826883790956868
20, 26.74363,0.12982345,12.553455,0.12187821,14.190174,0.13776869,nan,nan,nan,nan,0.2154443487582351,0.182479410295161
30, 26.420908,0.12825683,11.993778,0.116444446,14.427132,0.14006925,nan,nan,nan,nan,0.2225733287682812,0.1879134025416561
40, 26.29389,0.12764025,12.108488,0.11755814,14.185402,0.13772234,nan,nan,nan,nan,0.2215746410863916,0.18921437744131647
50, 26.350723,0.12791613,12.099207,0.11746803,14.251515,0.13836423,nan,nan,nan,nan,0.22401570393165737,0.19072883124602594
60, 27.671051,0.13432549,12.250445,0.11893636,15.420605,0.1497146,nan,nan,nan,nan,0.22001413249366764,0.18298803375658948
70, 26.903694,0.13060045,12.373609,0.120132126,14.530084,0.14106877,nan,nan,nan,nan,0.21414109468551715,0.1775669916094179
80, 26.699533,0.12960939,12.076046,0.11724316,14.6234865,0.1419756,nan,nan,nan,nan,0.2232713933863982,0.19405776779065925
90, 26.199135,0.12718026,11.925671,0.11578321,14.273461,0.1385773,nan,nan,nan,nan,0.2273974051310368,0.1994612679125768
100, 26.702332,0.12962297,12.642075,0.122738585,14.060257,0.13650735,nan,nan,nan,nan,0.22540634329324957,0.19138139072697433
110, 26.521854,0.12874687,11.709382,0.11368332,14.812472,0.1438104,nan,nan,nan,nan,0.22824794097334095,0.19173076884954207
120, 26.224188,0.12730189,12.144616,0.117908895,14.079574,0.1366949,nan,nan,nan,nan,0.2270022198094182,0.1957871537696439
