epoch,loss_train,ave_loss_train,loss_val,ave_loss_val,loss_test,ave_loss_test,auprc_avg_train,auprc_med_train,auprc_avg_val,auprc_med_val,auprc_avg_test,auprc_med_test
10, 31.084164,0.150894,16.33955,0.1586364,14.7446165,0.14315161,nan,nan,nan,nan,0.18901031361076467,0.1719943905911499
20, 29.82666,0.1447896,15.19901,0.1475632,14.627649,0.14201601,nan,nan,nan,nan,0.19498349795758713,0.17240066630043094
30, 29.034204,0.14094274,14.47255,0.1405102,14.561654,0.14137529,nan,nan,nan,nan,0.19859039536963263,0.17120775051046802
40, 28.432117,0.13802,13.911845,0.13506646,14.520272,0.14097352,nan,nan,nan,nan,0.20118048619736384,0.17081624453506866
50, 27.984718,0.13584815,13.494819,0.13101766,14.4899,0.14067864,nan,nan,nan,nan,0.20473902590083984,0.17979570491266406
60, 27.684826,0.13439237,13.215685,0.12830763,14.469142,0.1404771,nan,nan,nan,nan,0.20627764652161365,0.17961161911386075
70, 27.378193,0.13290384,12.935963,0.12559187,14.442229,0.14021581,nan,nan,nan,nan,0.2076392093044125,0.17833995842095068
80, 27.173103,0.13190827,12.746135,0.12374888,14.426969,0.14006765,nan,nan,nan,nan,0.20897298001479048,0.17970908814475678
90, 27.00796,0.1311066,12.586822,0.12220215,14.421138,0.14001104,nan,nan,nan,nan,0.20964095201544866,0.17827766658194483
100, 26.837353,0.13027841,12.430683,0.12068624,14.40667,0.13987058,nan,nan,nan,nan,0.21076023766179436,0.17797719201376896
110, 26.717752,0.12969783,12.324427,0.119654626,14.393324,0.139741,nan,nan,nan,nan,0.21134341942558166,0.17834668941502813
120, 26.572018,0.12899038,12.185464,0.118305475,14.386553,0.13967527,nan,nan,nan,nan,0.2115279719054901,0.18088519785491453
